"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RHOQ",0.158198921029608,5.04163195604569,1.14382757480048,0.276568897169405,0.439768800227138,-6.39370709608456
"RNF180",0.288340018793187,1.06920825807745,1.14375574412595,0.276597465570104,0.439768800227138,-5.70148513016275
"FAM13B",0.182170147960774,2.80015155417529,1.14372591854632,0.276609328432748,0.439768800227138,-6.07811668053539
"ZNF844",0.200146494970596,2.44123172816581,1.14335521640722,0.276756804897716,0.439941450887561,-6.00518518943515
"CABIN1",0.238306942751124,1.54660761316844,1.14323698133535,0.276803855193539,0.439954434824399,-5.81395131271646
"PUS3",-0.163021420942802,3.53246443521689,-1.14221521530301,0.277210713812607,0.440539217245737,-6.21334071820628
"NRDE2",0.201310800994209,1.54862034684307,1.1420123135208,0.277291562747573,0.440604760972992,-5.81583311721186
"PTGES3L",-0.314937509578902,-0.0385964094726605,-1.14191627445074,0.277329837176284,0.440604760972992,-5.42240279943955
"NRF1",-0.213110966363602,1.60401212143869,-1.14136556597397,0.277549389982129,0.440873106489983,-5.82799366416706
"USP6",0.349181426178696,-0.0894337978713892,1.14129716488272,0.277576669079509,0.440873106489983,-5.41202119084101
"NECAB1",-0.188055830010263,3.98603836013388,-1.14116666743844,0.277628718640531,0.440893887918261,-6.28302968019281
"FAM133CP",0.287967521632299,-0.0308080314438201,1.1407325107878,0.277801938648522,0.441007600892601,-5.42748600288332
"SPRTN",-0.159553885324019,3.22807208167063,-1.1406927215231,0.27781781797525,0.441007600892601,-6.16224237915464
"HMGCL",0.109906437213996,5.82670398036801,1.14064568211763,0.277836591636795,0.441007600892601,-6.45569146513614
"VTN",-0.327203454272474,-0.326843486521584,-1.14059649107625,0.277856225078511,0.441007600892601,-5.35511026737303
"BCDIN3D",0.179399371689692,2.58254481991474,1.14009914928479,0.278054787687245,0.441260858721063,-6.03802671322131
"TTC21B",0.125753641182668,4.95764927867814,1.13993325610032,0.278121044619332,0.441304111606751,-6.39098009038191
"GGA3",-0.239135439407999,1.30122322362205,-1.13960139957094,0.27825362321036,0.441379504465917,-5.76049994876287
"MRPL17",-0.12065713201927,5.3296539012441,-1.13954340767214,0.278276796331411,0.441379504465917,-6.42156672535661
"RWDD3",-0.142706451704936,3.57449050743491,-1.13945568502607,0.278311852473436,0.441379504465917,-6.22341173314002
"PRKAG2",-0.366801061807578,0.302437033856961,-1.13942380712383,0.278324592520045,0.441379504465917,-5.50834201398796
"FMO4",-0.25522530355637,1.10796369513733,-1.13858599982792,0.27865958529343,0.441848823934299,-5.71511907232177
"NUMB",0.109345528823816,5.75989388069616,1.13756706336651,0.279067422234733,0.442433499031246,-6.45461550223131
"FADS1",-0.124968513738171,7.28276632518789,-1.13734479882886,0.279156446633258,0.442512635704023,-6.53866116829828
"ZDHHC4",0.134011188030745,4.04693561442646,1.13667597455756,0.279424465756827,0.442779850171885,-6.2967303879094
"BBS1",0.182597033909405,2.53507880942798,1.13665063828243,0.279434622719782,0.442779850171885,-6.03195290667721
"POLG",-0.264549910226066,0.735219274521413,-1.13663120457829,0.279442413617095,0.442779850171885,-5.62274480100002
"SLC7A11",0.146038805948182,6.94473481416042,1.13647384598116,0.279505504264338,0.442817807442031,-6.52364275215677
"MED8",-0.129241730516173,4.97536427809749,-1.13605226803427,0.279674584140634,0.443023648264213,-6.39666289521405
"DCTN4",-0.103530736416649,6.18633842147039,-1.13568256646832,0.279822923358686,0.443196581439464,-6.48370070049604
