"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLAU",-2.59701364916699,1.93673026873681,-6.95735635570421,2.1928662622879e-05,0.00070407369049176,3.13034560790505
"KIAA1456",2.00742118464545,1.11477176804488,6.88540269874716,2.41368850807153e-05,0.000746199056525393,2.98750316121742
"LRIT2",2.56478337756153,-0.981310935280543,6.86078309423416,2.4946171672447e-05,0.000759841336539621,2.16845847091706
"SFTA1P",-2.67996608797632,-1.25683464543347,-6.7886243127324,2.74900658274295e-05,0.000802081036224837,1.88874412056264
"TNC",-2.12345458869112,3.46192387232102,-6.72728766296719,2.9871037841411e-05,0.000851362199434673,2.77146488513101
"LY75",2.28995614997045,-0.297028930222791,6.72225744549512,3.00758635227645e-05,0.000855046220502715,2.40085563204753
"ASB9",2.2268499685108,-0.297387152699327,6.71915702681684,3.02028577102772e-05,0.000856504598976907,2.41236262819782
"BLACAT1",-2.02094411497943,0.396768601944203,-6.71691416714938,3.02950835387544e-05,0.000856972175602516,2.6432154111071
"COL1A1",-2.63298248672241,2.95578796229035,-6.57126088631004,3.69801032964193e-05,0.000968587659256907,2.60467725524444
"PHLDB2",-2.54428186340236,3.67210907517617,-6.56141490315479,3.74856682825016e-05,0.00096960770533169,2.53641746991265
"NOX4",-2.43181115095483,0.951628388976903,-6.54658637617673,3.82610651345933e-05,0.000979465954746432,2.52771822362034
"GLIPR1",-2.29497035111908,3.29617809039422,-6.54247206510665,3.84792314866889e-05,0.000980613748360102,2.53303710123389
"ARNTL2",-2.13030653392018,0.444985268601687,-6.51407845768959,4.00215655798002e-05,0.00100186728879522,2.41272758602195
"GCSAM",-2.62843927196051,-1.11387852863054,-6.49234244344708,4.124686939474e-05,0.0010190138148504,1.71433223488412
"CDKN2B",-3.17954490650286,1.49859286365369,-6.43764385784148,4.45112091322628e-05,0.0010761631011358,2.42609395715326
"CACNA2D4",2.53449917280266,-1.01055834604248,6.43424223377225,4.47231288422471e-05,0.00107668553797878,1.75216350309587
"ARAP2",-2.44803116644256,0.0522938894154213,-6.33099129243421,5.16967911819003e-05,0.00118650951769412,2.06136284513
"CDKN2B-AS1",-2.09564045474912,-0.267577780580751,-6.29045394416039,5.47445122854815e-05,0.00123207032714962,1.95487820191044
"EDN1",-4.25084621840424,0.458195934521909,-6.23355610797839,5.93498924209553e-05,0.0012989246281298,1.88119375979601
"PMEPA1",-2.53623995909261,0.200196174665962,-6.20958772430139,6.14121264536257e-05,0.00133118431192102,1.95804986358121
"C8orf4",-2.00458714881134,1.54410807902526,-6.20250480412353,6.20360703087457e-05,0.00133271112626264,2.14107582657408
"ANKRD1",-2.29371280192228,1.73505129105741,-6.16581964139473,6.53777374218177e-05,0.0013732003446575,2.09184900449227
"IL32",-3.91598467449071,0.196395288448043,-6.12374813419814,6.9447880917498e-05,0.00141331433917534,1.71207282512775
"TNFRSF12A",-2.79070390351153,-0.922258718127197,-6.10311270145884,7.15422091620596e-05,0.00143783320900303,1.41103200407892
"FAM138E",2.24472956198955,-1.12574608747806,6.07977136581317,7.39925857366846e-05,0.00145896099834448,1.36988302110976
"ARL14",-3.05029809838904,-1.32598772967334,-6.06128180245471,7.59970840587033e-05,0.00148515890522319,1.12931711787772
"DSP",-2.24624842586995,3.76342135081197,-5.98647292219808,8.47177255971776e-05,0.00160030227901847,1.69225999038212
"COL8A1",-3.33934104826352,0.308520891165473,-5.97624493639525,8.59905020424909e-05,0.00161893931881994,1.63614249927051
"ANXA2P2",-2.3379491221294,0.448123742096509,-5.91099338511942,9.46051278716541e-05,0.00171822956961118,1.65612257025462
"KCTD4",-2.03844883392747,0.0661578159884713,-5.88895826780036,9.771805896147e-05,0.00176344471634614,1.57241955862227
"CRHR2",2.06193738590349,0.158144643398947,5.8806213737209,9.89240917544891e-05,0.00177108559842096,1.58994004313759
"ACSS1",2.13852808664239,-1.01025848275304,5.83887228361853,0.000105206542107643,0.0018427430711269,1.17861940068863
"HECW2",-2.16989486061008,0.289782210983366,-5.78140115022819,0.000114558208004365,0.00195695439369119,1.47232033475836
"TRANK1",-2.20795608530633,-0.981381726160145,-5.74324364123374,0.000121252829407708,0.00203557235125849,1.0604642620713
"BBOX1",-2.91623347618369,0.0221176606068832,-5.6840637702043,0.000132471404999574,0.002148281046797,1.24941532401057
"OSMR",-2.10833879422617,0.456471530582307,-5.669495711298,0.000135398896918182,0.00217109612774776,1.34905186056795
"SLC5A12",-3.60210819864087,-1.19330284148653,-5.56803052896163,0.000157794874988371,0.00240951283467397,0.618532809506223
"TES",-2.60625446882512,0.432712825846565,-5.53919940622833,0.000164853245234719,0.00248339077214768,1.15315421394806
"STEAP3",-2.77136782337359,-0.397912298066934,-5.53217455929526,0.000166623325201711,0.00248992052958759,0.964472873524677
"SLC26A3",2.01337422702222,-0.535422181513314,5.28493370738025,0.000243733251214149,0.00326758499702382,0.68257964718511
"CD274",-3.49499901728699,0.686253764194179,-5.23151659632599,0.000264909008688956,0.00345327814898104,0.729047716888735
"A2ML1",2.37410576746462,-1.10613529458333,5.22765242062487,0.000266514556655476,0.00345980472258923,0.424956795986865
