	SRR12626034	SRR12626035	SRR12626036	SRR12626040	SRR12626041	SRR12626042
CDKN2B	44	60	23	735	326	215
CDKN2B-AS1	12	18	22	112	53	67
CDKN3	257	227	198	908	443	753
CDO1	14245	11293	9223	15739	9494	12892
CDON	139	214	157	238	112	156
CDR1	6400	7610	7508	7246	4766	5618
CDR2	504	413	350	504	297	461
CDR2L	187	237	167	374	207	274
CDS1	846	808	825	838	428	617
CDS2	1318	1429	1027	1635	1052	1185
CDV3	8482	6755	6578	14019	7291	7988
CDYL	283	259	171	462	234	286
CEACAM1	42	44	33	147	38	51
CEBPG	474	403	395	606	377	464
CEBPZ	4121	3555	3409	5908	2759	4189
CEBPZOS	1689	1483	1247	2487	1500	2217
CECR1	184	177	185	191	158	178
CECR5	37	51	24	37	21	35
CELF1	1424	1535	1237	1941	1201	1332
CELF2	2247	2200	1995	3430	1835	2413
CELF2-AS2	119	105	72	144	45	104
CELF4	87	88	109	93	62	89
CELF6	44	42	38	61	34	31
CELSR1	135	88	66	146	86	87
CELSR2	61	67	46	57	49	45
CELSR3	25	33	18	66	46	21
CEMIP	127	118	117	106	72	85
CENPBD1	143	116	68	148	98	100
CENPBD1P1	392	432	268	446	287	410
CENPC	1401	1611	1329	1466	714	1459
CENPE	839	352	320	315	149	287
CENPF	2273	1299	1026	2891	1021	2039
CENPH	40	45	65	39	56	67
CENPI	36	62	64	110	67	109
CENPJ	679	517	551	900	434	598
CENPK	443	331	276	815	471	452
CENPL	169	149	118	241	144	142
CENPN	203	132	130	351	157	213
CENPO	29	40	20	82	44	40
CENPQ	360	323	356	495	211	336
CENPU	132	91	113	259	124	154
CENPV	61	59	57	121	86	68
CENPW	362	286	251	409	316	357
CEP104	373	340	335	374	215	319
CEP112	757	631	501	837	405	716
CEP120	809	687	709	1019	467	768
CEP126	3146	2426	2072	1726	688	1686
CEP128	580	449	448	639	228	531
CEP135	341	357	266	486	159	360
CEP152	1424	1404	974	1516	521	1433
CEP162	1134	811	598	1335	418	1118
CEP164	106	106	88	147	73	94
CEP170	18	7	23	78	12	31
CEP19	255	166	151	211	116	156
CEP192	1402	1170	1234	1588	814	1488
CEP250	85	114	61	138	66	80
CEP290	1806	1095	762	2109	663	1368
CEP295	2095	2109	1483	2215	1043	2042
CEP350	4750	4246	3553	6173	2297	4833
CEP41	3033	2547	2071	3853	2474	3195
CEP44	4065	4475	4408	3809	1781	3675
CEP57	2610	2633	2234	3161	1290	2335
CEP57L1	757	706	521	1140	573	919
CEP63	768	773	658	932	380	709
CEP68	468	425	416	561	292	414
CEP70	1543	1430	1279	1860	815	1300
CEP76	122	100	162	149	89	123
CEP78	249	254	184	337	164	246
CEP83	1503	984	815	1309	528	973
CEP85	578	485	429	559	354	458
CEP85L	8998	9708	8109	11377	4218	9719
CEP89	510	460	423	683	420	509
CEP95	1742	1813	1512	1690	1009	1527
CEP97	1842	1969	1681	1892	979	2019
CEPT1	1346	1451	1361	1718	1069	1413
CERK	379	308	282	410	212	338
CERKL	83	90	70	52	11	39
CERS2	483	471	396	623	374	439
CERS5	540	582	400	730	406	536
CERS6	683	617	635	1035	585	742
CES2	244	265	156	237	169	207
CES4A	47	42	19	20	22	26
CETN2	8949	8891	8457	9496	5932	8441
CETN3	2250	2122	2122	2493	1415	2183
CETN4P	63	61	79	103	45	80
CFAP126	3528	3221	2912	2478	1760	2482
CFAP20	448	436	311	434	302	358
CFAP221	2325	1803	1604	1510	917	1543
CFAP36	1770	1699	1340	2170	1218	1735
CFAP43	2744	2279	2245	1584	585	1429
CFAP44	1843	1624	1321	1705	580	1475
CFAP44-AS1	41	61	38	43	6	34
CFAP45	1287	1063	919	1044	700	990
CFAP46	69	39	34	40	17	39
CFAP47	1743	1127	1006	1042	560	1221
CFAP52	2218	1678	1566	1445	893	1310
CFAP53	295	230	208	190	111	205
CFAP54	2285	1800	1289	1377	643	1229
CFAP57	1174	835	672	742	550	705
CFAP58	95	74	68	68	27	56
CFAP61	455	433	373	338	244	370
CFAP69	2061	1635	1381	1295	354	1175
CFAP70	3222	3094	2922	2207	991	2137
CFAP97	5162	5688	5043	6558	3171	5678
